"section_fullname_english","section_code","n","section_shortname_english"
"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes","03",48,"Animal and Vegetable Bi-Products"
"Arms and ammunition, parts and accessories thereof","19",18,"Weapons"
"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware","13",142,"Stone And Glass"
"Base metals and articles of base metal","15",563,"Metals"
"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.","12",47,"Footwear and Headwear"
"Live animals and animal products","01",336,"Animal Products"
"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles","16",771,"Machines"
"Mineral products","05",148,"Mineral Products"
"Miscellaneous manufactured articles","20",118,"Miscellaneous"
"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins","14",53,"Precious Metals"
"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof","18",211,"Instruments"
"Plastics and articles thereof, rubber and articles thereof","07",211,"Plastics and Rubbers"
"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes","04",211,"Foodstuffs"
"Product of the chemicals or allied industries","06",787,"Chemical Products"
"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof","10",141,"Paper Goods"
"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)","08",69,"Animal Hides"
"Textile and textile articles","11",796,"Textiles"
"Vegetable products","02",304,"Vegetable Products"
"Vehicles, aircraft, vessels and associated transport equipment","17",130,"Transportation"
"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork","09",94,"Wood Products"
"Works of art, collectorsâ€™ pieces and antiques","21",7,"Arts and Antiques"
NA,NA,99,"Unspecified"
